channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
snapchat,3.5,3,2.2794003330667816,2.3511721012658544,1.8332388885815936,2.940877082149188,270.2982806679413,395926085.4669316,408392660.4769767,1.1076381935675943
snapchat,4.0,3,2.619065803587437,2.7019509104225374,2.113625395596028,3.373161532084147,325.4783812897749,454925120.5028655,469322054.3879183,1.2595361364881192
snapchat,4.5,3,2.944102088610331,3.0430377630392713,2.370653625329336,3.814357575178146,378.28190849499197,511383102.9366419,528567979.9068838,1.44370394984881
snapchat,5.0,3,3.2912700752417248,3.398924350308047,2.6608781392375627,4.244624836444855,434.6808247746929,571685306.0873582,590384581.9857007,1.583746697207292
tiktok,0.5,3,0.229880385241704,0.24642548418605448,0.1745280475142741,0.3348680198021854,-55.488814792878024,16116316.204246558,17276250.080019984,0.1603399722879113
tiktok,1.0,3,0.516455322795858,0.5508525681844912,0.3896610634269503,0.7464413183306654,0.0,39824592.26686923,39824592.26686923,0.3567802549037151
tiktok,1.5,3,0.8446680824334423,0.883058937806636,0.6323324123956263,1.1721763185908396,63.551045976404545,59217483.430867106,61908966.49887809,0.5398439061952133
tiktok,2.0,3,1.1542502956589062,1.2187667473695345,0.8938284115617474,1.6082215348879496,123.49470413245265,80921487.59940942,85444568.30962853,0.7143931233262022
tiktok,2.5,3,1.4878254439185064,1.5636054227170018,1.1621920146048068,2.040798809627692,188.0840564996184,104307574.07032616,109620311.38361864,0.8786067950228853
tiktok,3.0,3,1.851219400217136,1.9246470472796098,1.4462490701923767,2.4764726714293164,258.4471528331749,129784179.6548482,134932001.10533163,1.0302236012369397
tiktok,3.5,3,2.1955608798066777,2.2748279170029693,1.7092764831086,2.9196463880936303,325.12116399941306,153925065.62677753,159482271.53926113,1.2103699049850303
tiktok,4.0,3,2.5498844048380853,2.6389861640499697,1.9970881627500057,3.3699859245618184,393.72797457757855,178765766.85496336,185012459.56127462,1.3728977618118128
tiktok,4.5,3,2.912781243622303,3.010026592049334,2.2912067657709123,3.826091766754786,463.99481524438715,204207520.822874,211025139.3987012,1.5348850009838735
tiktok,5.0,3,3.273117325504621,3.3789809025658504,2.5838677032788597,4.27995767891407,533.7658227212042,229469746.78142515,236891566.96254894,1.6960899756352106
