channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason,pct_change_raw,baseline_roi_for_rank,pct_source_row,abs_pct_change_raw,abs_delta_roi,pct_change,abs_pct_change,prior_neg_prob,prior_guardrail_pass
meta,0.03762956,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.33660090027406,1.0271761,fallback_baseline,96.33660090027406,0.98954654,-96.33660090027406,96.33660090027406,0.0,1.0
meta,0.06889866,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-93.292419868414,1.0271761,fallback_baseline,93.292419868414,0.9582774399999999,-93.292419868414,93.292419868414,0.0,1.0
meta,0.14035434,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-86.3359028700142,1.0271761,fallback_baseline,86.3359028700142,0.8868217599999999,-86.3359028700142,86.3359028700142,0.0,1.0
meta,0.24363296,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-76.28128613973786,1.0271761,fallback_baseline,76.28128613973786,0.7835431399999999,-76.28128613973786,76.28128613973786,0.0,1.0
meta,0.23868632,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-76.76286276520646,1.0271761,fallback_baseline,76.76286276520646,0.7884897799999999,-76.76286276520646,76.76286276520646,0.0,1.0
meta,0.37465382,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-63.52584332910393,1.0271761,fallback_baseline,63.52584332910393,0.6525222799999999,-63.52584332910393,63.52584332910393,0.0,1.0
meta,0.9679197,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-5.7688647545440235,1.0271761,fallback_baseline,5.7688647545440235,0.059256399999999876,-5.7688647545440235,5.7688647545440235,0.0,1.0
meta,1.0050073,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-2.1582277858684593,1.0271761,fallback_baseline,2.1582277858684593,0.02216879999999999,-2.1582277858684593,2.1582277858684593,0.0,1.0
meta,0.040975902,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.01082015050778,1.0271761,fallback_baseline,96.01082015050778,0.9862001979999999,-96.01082015050778,96.01082015050778,0.0,1.0
meta,0.07652609,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-92.54985683564873,1.0271761,fallback_baseline,92.54985683564873,0.9506500099999999,-92.54985683564873,92.54985683564873,0.0,1.0
meta,0.14405364,meta,0.036328,0.016722,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-85.97576014473077,1.0271761,fallback_baseline,85.97576014473077,0.8831224599999999,-85.97576014473077,85.97576014473077,0.0,1.0
