channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
beehiiv,0.32937217,liveintent,0.072657,0.016722,LogNormal
amazon,0.7583646,liveintent,0.072657,0.016722,LogNormal
meta,-0.06359871,liveintent,0.072657,0.023411,Normal
google,-0.020378742,liveintent,0.072657,0.023411,Normal
snapchat,0.04145591,liveintent,0.072657,0.023411,Normal
tiktok,-0.04696784,liveintent,0.072657,0.023411,Normal
moloco,0.105369136,liveintent,0.072657,0.023411,Normal
liveintent,0.07450385,liveintent,0.072657,0.023411,Normal
beehiiv,0.33483785,liveintent,0.072657,0.023411,Normal
amazon,0.36400452,liveintent,0.072657,0.023411,Normal
meta,0.0896361,liveintent,0.072657,0.023411,LogNormal
google,0.03586069,liveintent,0.072657,0.023411,LogNormal
snapchat,0.06841786,liveintent,0.072657,0.023411,LogNormal
tiktok,0.110277936,liveintent,0.072657,0.023411,LogNormal
moloco,0.2329332,liveintent,0.072657,0.023411,LogNormal
liveintent,1.0322174,liveintent,0.072657,0.023411,LogNormal
beehiiv,0.35005647,liveintent,0.072657,0.023411,LogNormal
amazon,0.77609015,liveintent,0.072657,0.023411,LogNormal
meta,-0.054639757,liveintent,0.072657,0.033445,Normal
google,-0.032653816,liveintent,0.072657,0.033445,Normal
snapchat,0.038298137,liveintent,0.072657,0.033445,Normal
tiktok,-0.0152327325,liveintent,0.072657,0.033445,Normal
moloco,0.16576442,liveintent,0.072657,0.033445,Normal
liveintent,0.08467336,liveintent,0.072657,0.033445,Normal
beehiiv,0.33608538,liveintent,0.072657,0.033445,Normal
amazon,0.28980085,liveintent,0.072657,0.033445,Normal
meta,0.082641214,liveintent,0.072657,0.033445,LogNormal
google,0.037838556,liveintent,0.072657,0.033445,LogNormal
snapchat,0.07235412,liveintent,0.072657,0.033445,LogNormal
tiktok,0.11365016,liveintent,0.072657,0.033445,LogNormal
moloco,0.2333653,liveintent,0.072657,0.033445,LogNormal
liveintent,1.0196536,liveintent,0.072657,0.033445,LogNormal
beehiiv,0.32986158,liveintent,0.072657,0.033445,LogNormal
amazon,0.8604301,liveintent,0.072657,0.033445,LogNormal
meta,-0.058996357,liveintent,0.103795,0.006689,Normal
google,-0.025530532,liveintent,0.103795,0.006689,Normal
snapchat,0.044507705,liveintent,0.103795,0.006689,Normal
tiktok,-0.0021416321,liveintent,0.103795,0.006689,Normal
moloco,0.08675121,liveintent,0.103795,0.006689,Normal
liveintent,0.10264152,liveintent,0.103795,0.006689,Normal
beehiiv,0.33499536,liveintent,0.103795,0.006689,Normal
amazon,0.3612491,liveintent,0.103795,0.006689,Normal
meta,0.08294679,liveintent,0.103795,0.006689,LogNormal
google,0.034575626,liveintent,0.103795,0.006689,LogNormal
snapchat,0.064339526,liveintent,0.103795,0.006689,LogNormal
tiktok,0.11673306,liveintent,0.103795,0.006689,LogNormal
moloco,0.24083968,liveintent,0.103795,0.006689,LogNormal
liveintent,1.1105043,liveintent,0.103795,0.006689,LogNormal
beehiiv,0.34649444,liveintent,0.103795,0.006689,LogNormal
amazon,0.7990738,liveintent,0.103795,0.006689,LogNormal
meta,-0.050353814,liveintent,0.103795,0.011706,Normal
google,-0.020929506,liveintent,0.103795,0.011706,Normal
snapchat,0.04221643,liveintent,0.103795,0.011706,Normal
tiktok,-0.042414725,liveintent,0.103795,0.011706,Normal
moloco,0.08999871,liveintent,0.103795,0.011706,Normal
liveintent,0.10533593,liveintent,0.103795,0.011706,Normal
beehiiv,0.27421492,liveintent,0.103795,0.011706,Normal
amazon,0.30868238,liveintent,0.103795,0.011706,Normal
meta,0.08366358,liveintent,0.103795,0.011706,LogNormal
google,0.035831172,liveintent,0.103795,0.011706,LogNormal
snapchat,0.06361179,liveintent,0.103795,0.011706,LogNormal
tiktok,0.114170626,liveintent,0.103795,0.011706,LogNormal
moloco,0.23705277,liveintent,0.103795,0.011706,LogNormal
liveintent,1.1041279,liveintent,0.103795,0.011706,LogNormal
beehiiv,0.3394182,liveintent,0.103795,0.011706,LogNormal
amazon,0.78458834,liveintent,0.103795,0.011706,LogNormal
meta,-0.047363393,liveintent,0.103795,0.016722,Normal
google,-0.0024943233,liveintent,0.103795,0.016722,Normal
snapchat,0.010917743,liveintent,0.103795,0.016722,Normal
tiktok,-0.052229118,liveintent,0.103795,0.016722,Normal
moloco,0.117203295,liveintent,0.103795,0.016722,Normal
liveintent,0.10595077,liveintent,0.103795,0.016722,Normal
beehiiv,0.30554354,liveintent,0.103795,0.016722,Normal
amazon,0.31922424,liveintent,0.103795,0.016722,Normal
meta,0.08517854,liveintent,0.103795,0.016722,LogNormal
google,0.038116507,liveintent,0.103795,0.016722,LogNormal
snapchat,0.07193316,liveintent,0.103795,0.016722,LogNormal
tiktok,0.10835217,liveintent,0.103795,0.016722,LogNormal
moloco,0.25460884,liveintent,0.103795,0.016722,LogNormal
liveintent,1.099249,liveintent,0.103795,0.016722,LogNormal
beehiiv,0.3507115,liveintent,0.103795,0.016722,LogNormal
amazon,0.7550732,liveintent,0.103795,0.016722,LogNormal
meta,-0.04265184,liveintent,0.103795,0.023411,Normal
google,0.013367322,liveintent,0.103795,0.023411,Normal
snapchat,-0.0012214369,liveintent,0.103795,0.023411,Normal
tiktok,-0.060075838,liveintent,0.103795,0.023411,Normal
moloco,0.05602789,liveintent,0.103795,0.023411,Normal
liveintent,0.10006068,liveintent,0.103795,0.023411,Normal
beehiiv,0.23031679,liveintent,0.103795,0.023411,Normal
amazon,0.32188833,liveintent,0.103795,0.023411,Normal
meta,0.09269591,liveintent,0.103795,0.023411,LogNormal
google,0.038554553,liveintent,0.103795,0.023411,LogNormal
snapchat,0.0713354,liveintent,0.103795,0.023411,LogNormal
tiktok,0.10430022,liveintent,0.103795,0.023411,LogNormal
moloco,0.23659675,liveintent,0.103795,0.023411,LogNormal
liveintent,1.0790118,liveintent,0.103795,0.023411,LogNormal
beehiiv,0.33092323,liveintent,0.103795,0.023411,LogNormal
amazon,0.7711977,liveintent,0.103795,0.023411,LogNormal
meta,-0.047509316,liveintent,0.103795,0.033445,Normal
google,-0.035181195,liveintent,0.103795,0.033445,Normal
snapchat,0.10527636,liveintent,0.103795,0.033445,Normal
tiktok,-0.038267326,liveintent,0.103795,0.033445,Normal
moloco,0.09893375,liveintent,0.103795,0.033445,Normal
liveintent,0.10010731,liveintent,0.103795,0.033445,Normal
beehiiv,0.30740005,liveintent,0.103795,0.033445,Normal
amazon,0.2679587,liveintent,0.103795,0.033445,Normal
meta,0.08608463,liveintent,0.103795,0.033445,LogNormal
google,0.035354845,liveintent,0.103795,0.033445,LogNormal
snapchat,0.06528039,liveintent,0.103795,0.033445,LogNormal
tiktok,0.114550136,liveintent,0.103795,0.033445,LogNormal
moloco,0.21737678,liveintent,0.103795,0.033445,LogNormal
liveintent,1.0684243,liveintent,0.103795,0.033445,LogNormal
beehiiv,0.32823884,liveintent,0.103795,0.033445,LogNormal
amazon,0.74575114,liveintent,0.103795,0.033445,LogNormal
