channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,baseline_mu,baseline_sigma,baseline_roi,pct_change,abs_pct_change
moloco,"google,meta,moloco",0.103795,0.016722,Normal,0.10103587,0.051898,0.016722,0.12061889,-16.235450351101726,16.235450351101726
liveintent,"google,meta,moloco",0.103795,0.016722,Normal,-0.09580058,0.051898,0.016722,0.12061889,-179.42419300990085,179.42419300990085
beehiiv,"google,meta,moloco",0.103795,0.016722,Normal,0.25634158,0.051898,0.016722,0.12061889,112.52191924498725,112.52191924498725
amazon,"google,meta,moloco",0.103795,0.016722,Normal,0.018151753,0.051898,0.016722,0.12061889,-84.95115234437989,84.95115234437989
meta,"google,meta,moloco",0.103795,0.016722,LogNormal,1.1069146,0.051898,0.016722,1.4225322,-22.18702676818141,22.18702676818141
google,"google,meta,moloco",0.103795,0.016722,LogNormal,1.0672581,0.051898,0.016722,1.4225322,-24.97476682777373,24.97476682777373
snapchat,"google,meta,moloco",0.103795,0.016722,LogNormal,0.16918582,0.051898,0.016722,1.4225322,-88.10671421005443,88.10671421005443
tiktok,"google,meta,moloco",0.103795,0.016722,LogNormal,0.2983064,0.051898,0.016722,1.4225322,-79.0299017484455,79.0299017484455
moloco,"google,meta,moloco",0.103795,0.016722,LogNormal,1.1056736,0.051898,0.016722,1.4225322,-22.274265566712653,22.274265566712653
liveintent,"google,meta,moloco",0.103795,0.016722,LogNormal,0.49971244,0.051898,0.016722,1.4225322,-64.87162540151992,64.87162540151992
beehiiv,"google,meta,moloco",0.103795,0.016722,LogNormal,0.71701276,0.051898,0.016722,1.4225322,-49.596026016142204,49.596026016142204
amazon,"google,meta,moloco",0.103795,0.016722,LogNormal,1.4430689,0.051898,0.016722,1.4225322,1.4436720659117646,1.4436720659117646
meta,"google,meta,moloco",0.103795,0.033445,Normal,0.0427755,0.051898,0.016722,0.12061889,-64.5366492760794,64.5366492760794
google,"google,meta,moloco",0.103795,0.033445,Normal,0.04466731,0.051898,0.016722,0.12061889,-62.968229934797115,62.968229934797115
snapchat,"google,meta,moloco",0.103795,0.033445,Normal,-0.07351187,0.051898,0.016722,0.12061889,-160.94556996835237,160.94556996835237
tiktok,"google,meta,moloco",0.103795,0.033445,Normal,-0.057224356,0.051898,0.016722,0.12061889,-147.44228370862973,147.44228370862973
moloco,"google,meta,moloco",0.103795,0.033445,Normal,0.092491396,0.051898,0.016722,0.12061889,-23.31931093048527,23.31931093048527
liveintent,"google,meta,moloco",0.103795,0.033445,Normal,0.010716889,0.051898,0.016722,0.12061889,-91.11508238883643,91.11508238883643
beehiiv,"google,meta,moloco",0.103795,0.033445,Normal,0.27852798,0.051898,0.016722,0.12061889,130.9157214098057,130.9157214098057
amazon,"google,meta,moloco",0.103795,0.033445,Normal,0.08681771,0.051898,0.016722,0.12061889,-28.023123077985545,28.023123077985545
meta,"google,meta,moloco",0.103795,0.033445,LogNormal,1.0957128,0.051898,0.016722,1.4225322,-22.9744817024177,22.9744817024177
google,"google,meta,moloco",0.103795,0.033445,LogNormal,0.9671482,0.051898,0.016722,1.4225322,-32.01221033871852,32.01221033871852
snapchat,"google,meta,moloco",0.103795,0.033445,LogNormal,0.16723754,0.051898,0.016722,1.4225322,-88.24367279700242,88.24367279700242
tiktok,"google,meta,moloco",0.103795,0.033445,LogNormal,0.29749966,0.051898,0.016722,1.4225322,-79.08661329423686,79.08661329423686
moloco,"google,meta,moloco",0.103795,0.033445,LogNormal,1.0965713,0.051898,0.016722,1.4225322,-22.914131574666648,22.914131574666648
liveintent,"google,meta,moloco",0.103795,0.033445,LogNormal,0.48974237,0.051898,0.016722,1.4225322,-65.57249319206976,65.57249319206976
beehiiv,"google,meta,moloco",0.103795,0.033445,LogNormal,0.70562625,0.051898,0.016722,1.4225322,-50.396465542221115,50.396465542221115
amazon,"google,meta,moloco",0.103795,0.033445,LogNormal,1.4122945,0.051898,0.016722,1.4225322,-0.7196814244345412,0.7196814244345412
