channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,targets,prior_key,roi_prior_overrides_json
tiktok,1.010042,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
moloco,0.36154452,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
liveintent,0.32978734,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
beehiiv,0.5020849,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
amazon,1.3539326,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
meta,0.042961106,"meta,tiktok",0.051898,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}"
google,-0.03215399,"meta,tiktok",0.051898,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}"
snapchat,-0.035198413,"meta,tiktok",0.051898,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}"
tiktok,0.053060554,"meta,tiktok",0.051898,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}"
moloco,0.10995889,"meta,tiktok",0.051898,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}"
